DateTime;BTC;ETH;Stablecoins;Others
09.03.2015;3825259464,06;0,00;376961,03;583793590,91
16.03.2015;3983756725,94;0,00;360227,12;614523174,94
23.03.2015;3742292198,82;0,00;369557,64;591748483,54
30.03.2015;3399503919,76;0,00;362965,57;521073146,67
06.04.2015;3655987365,85;0,00;368921,42;528963648,73
13.04.2015;3314279245,55;0,00;357400,04;496323226,41
20.04.2015;3132401718,15;0,00;373413,76;462264868,09
27.04.2015;3093209736,55;0,00;251600,00;451338663,45
04.05.2015;3394133213,55;0,00;373899,30;469272983,15
11.05.2015;3399283518,25;0,00;346500,70;444579901,05
18.05.2015;3357382023,57;0,00;342449,44;423135430,99
25.05.2015;3420472019,89;0,00;592861,27;484425038,84
01.06.2015;3274367343,45;0,00;612131,76;524970604,79
08.06.2015;3175514755,71;0,00;607951,03;518237357,26
15.06.2015;3331925638,88;0,00;611099,10;545653342,02
22.06.2015;3488460580,68;0,00;635180,15;680954287,17
29.06.2015;3562783243,60;0,00;634694,15;721552046,25
06.07.2015;3890435026,82;0,00;635743,05;764229326,13
13.07.2015;4468539069,32;0,00;622696,23;759228122,45
20.07.2015;3938927416,61;0,00;601637,11;645570722,28
27.07.2015;4222215076,55;0,00;595604,46;701479366,99
03.08.2015;4087614276,47;0,00;589130,83;670646640,70
10.08.2015;3843843093,01;43130006,72;583072,16;658063796,11
17.08.2015;3749250712,45;95819595,62;586846,49;639552957,45
24.08.2015;3314634445,92;97791422,23;540186,73;565613913,12
31.08.2015;3335218377,53;96250958,83;522822,54;563777953,11
07.09.2015;3499113997,89;94585637,46;510915,82;575549448,83
14.09.2015;3369195197,14;68814411,31;511225,61;575439101,94
21.09.2015;3383840060,05;69045902,90;518816,63;556725140,42
28.09.2015;3413624918,67;53201852,64;520283,51;520152977,18
05.10.2015;3497741536,95;49131581,47;520094,84;478666818,75
12.10.2015;3632108936,83;46864146,11;520748,72;484556088,34
19.10.2015;3859271425,48;38321361,02;519685,04;461877288,45
26.10.2015;4187413198,59;45991247,54;451600,00;448774097,88
02.11.2015;4820841334,21;78701626,84;451600,00;526585406,95
09.11.2015;5546231702,64;76992153,27;519485,72;481226898,38
16.11.2015;4746066188,81;67730699,85;519561,88;431013469,46
23.11.2015;4823705394,31;72484192,22;524881,96;436405531,51
30.11.2015;5534006986,00;66080466,75;451600,00;472760915,25
07.12.2015;5821148072,77;62950906,08;1024636,84;503486432,31
14.12.2015;6480074346,29;72176417,62;951600,00;639557444,09
21.12.2015;6636287835,94;68521210,23;1023534,93;544197498,90
28.12.2015;6356107482,19;64913216,04;951600,00;545887925,77
04.01.2016;6468181559,93;73853951,55;982006,75;544992721,78
11.01.2016;6761093149,22;76096519,18;1533149,93;552387325,67
18.01.2016;5761942557,94;101698540,69;1502208,92;515496948,45
25.01.2016;6083903349,01;164312378,22;1522456,37;538981944,40
01.02.2016;5596093514,38;177880782,49;1451598,10;596454041,03
08.02.2016;5720103096,03;228504539,51;1451600,00;678080796,46
15.02.2016;6199850202,24;410642754,82;1532944,58;739413970,35
22.02.2016;6689197867,79;360185281,66;1535651,24;738020975,31
29.02.2016;6614972353,37;499586942,86;1538442,63;739182389,14
07.03.2016;6233433919,32;886443149,92;1534948,34;748557902,42
14.03.2016;6342791478,52;1128182362,27;1554985,67;827861061,54
21.03.2016;6341382966,24;805993922,30;1553771,30;788079516,16
28.03.2016;6553701498,64;819007455,04;1555239,13;830845567,19
04.04.2016;6483908579,41;914558628,61;1558956,82;830663627,16
11.04.2016;6504290706,25;706074387,56;1564777,29;724370160,91
18.04.2016;6604158106,28;738916061,61;1556572,69;754029099,42
25.04.2016;7102483346,95;635783539,72;1555825,20;805737352,14
02.05.2016;7002605989,66;708136995,44;2048664,81;773428126,08
09.05.2016;7112507359,68;757999825,68;25866828,47;761426178,17
16.05.2016;7114745849,78;798116463,18;22435554,84;756462260,20
23.05.2016;6842466300,59;1146472257,86;20567180,43;767544373,12
30.05.2016;8243968477,40;992330848,90;18895739,69;963305030,00
06.06.2016;8977691640,06;1130353803,05;23235848,09;1011219060,80
13.06.2016;10511932397,88;1276928144,44;25376943,58;1081262802,10
20.06.2016;11976669911,67;993505466,70;29770850,41;1126553611,22
27.06.2016;9882833693,48;1124176225,84;28790964,11;1061399244,57
04.07.2016;10362656811,40;954848213,40;26220820,61;1138374378,59
11.07.2016;10215201884,02;895673423,95;24435891,85;1164788384,18
18.07.2016;10716779406,23;917152982,40;26791064,02;1453476611,35
25.07.2016;10431889594,02;1048923373,47;26224533,40;1447062211,11
01.08.2016;9860616203,92;981730761,38;27628197,11;1368925061,59
08.08.2016;9365430090,66;903181125,00;29108958,63;1384380049,70
15.08.2016;9021181804,98;929555397,57;27144640,48;1354618636,97
22.08.2016;9199420344,32;930709393,20;27233533,52;1351236536,96
29.08.2016;9091825037,18;910699430,79;30868154,38;1320707089,64
05.09.2016;9652486007,03;977164815,38;28289477,51;1422760116,08
12.09.2016;9628561521,97;976642706,55;27140530,55;1366954824,93
19.09.2016;9681956384,87;1045863357,82;35046534,06;1390033307,25
26.09.2016;9545833714,69;1110694718,80;35677286,14;1410194280,37
03.10.2016;9714989222,48;1116603094,96;36614002,65;1346993423,91
10.10.2016;9816271929,53;1022860288,54;35238792,96;1382329404,97
17.10.2016;10221320530,72;1016714264,01;33165973,47;1364898815,79
24.10.2016;10473535152,43;1026406803,03;31596238,31;1408762094,23
31.10.2016;11207204436,21;960011274,34;30698090,56;1313486646,90
07.11.2016;11344832652,17;934534534,79;30872825,32;1325360371,72
14.11.2016;11214637119,14;867753308,84;27103121,88;1333006034,14
21.11.2016;11698908605,08;825381008,58;26213657,87;1266496664,48
28.11.2016;11727839066,16;777311559,16;25706354,30;1266443244,38
05.12.2016;12393107443,47;641820062,47;25117222,71;1237555271,35
12.12.2016;12349844393,48;711347745,48;28471414,22;1251636670,82
19.12.2016;12691105639,00;685054678,75;26791876,84;1296847357,41
26.12.2016;14407791719,66;622438653,89;25129990,84;1392339603,61
02.01.2017;16055108982,56;714900119,51;29398353,59;1523393184,34
09.01.2017;14694874480,18;904684776,94;34157369,24;1500483181,64
16.01.2017;13234596459,61;869126437,24;34732951,09;1469144280,05
23.01.2017;14918751625,02;944155644,54;34387055,04;1575105035,40
30.01.2017;14844939255,08;927414854,22;35776204,68;1642869494,03
06.02.2017;16605348260,84;1005938810,97;46173755,57;1756438436,63
13.02.2017;16141499397,04;1011081069,71;44427819,98;1695691361,27
20.02.2017;16960221413,66;1136601687,73;44874952,36;1718802426,25
27.02.2017;18837184559,16;1294776572,70;44997469,17;1712141174,97
06.03.2017;20531880759,98;1725361863,84;47027386,07;1967829318,12
13.03.2017;19807623710,32;2108301800,44;57354598,07;2286819987,17
20.03.2017;16829809130,13;4031276256,24;77208274,38;2895105635,25
27.03.2017;15785013324,03;4624994194,35;76064077,10;3051928276,52
03.04.2017;17924628824,16;4411029754,35;95388523,36;5288753730,13
10.04.2017;19311221909,74;3919525799,91;91021781,84;4519631340,51
17.04.2017;19260395207,45;4417310840,84;87419129,47;5059475398,24
24.04.2017;19705450918,91;4446467899,31;92246402,37;5367135643,41
01.05.2017;21981770171,63;7234067716,87;118155086,84;7600908784,66
08.05.2017;26056541056,22;8569063495,58;138173505,50;13725120502,69
15.05.2017;29532572668,73;8316928343,08;154807810,75;17164289193,44
22.05.2017;33393668309,84;14522111822,30;211907849,95;25835414225,90
29.05.2017;35323600765,83;15654637353,79;272515329,19;21271048279,18
05.06.2017;41133992638,79;22615798636,09;268566846,49;29006545046,62
12.06.2017;48391182554,25;31525273275,61;341591095,11;32245949491,03
19.06.2017;41800562433,92;34435759614,62;320920212,28;33908756587,18
26.06.2017;42513987598,67;28111192304,18;341253473,51;34412562847,64
03.07.2017;41037160117,94;26815934063,31;391105239,85;30877198338,89
17.07.2017;31795020262,28;14932733711,74;389856067,63;20001289158,34
24.07.2017;44995605226,60;21158543168,79;450485198,50;28669366790,11
31.07.2017;45535845598,88;18492032023,85;455479165,49;24707346315,79
07.08.2017;52987311209,66;24510987196,79;475345352,70;34215353872,85
14.08.2017;67112328209,81;28008682718,16;486538062,68;40213451713,35
21.08.2017;67567071725,62;28285462427,87;491249839,10;48493217223,41
28.08.2017;72467865903,13;33002674604,99;527681966,24;53032778613,65
04.09.2017;75955543615,59;32773988121,67;566339448,78;55845346093,96
11.09.2017;68256040447,92;27394423908,54;579776533,58;47722548613,95
18.09.2017;59514087022,07;23881156365,10;578220740,43;39718600640,40
25.09.2017;61061094889,75;26755460574,00;591891507,84;40110794756,40
02.10.2017;72963198007,77;28708457205,83;606137043,93;46645296638,48
09.10.2017;76656471455,08;29328333214,49;594157497,10;45795465481,33
16.10.2017;94558952137,21;32029240568,51;577402488,02;46512587206,26
23.10.2017;99941633674,85;28111424780,45;571582338,38;43330157798,31
30.10.2017;101833013912,48;29077593892,48;586321400,97;46272829514,07
06.11.2017;123379323769,02;28322701831,11;634847860,91;46987167754,96
13.11.2017;99029012526,27;29379017026,71;726839017,49;64167135141,53
20.11.2017;134167308968,16;33933446659,12;828707087,07;68607718981,64
27.11.2017;156221049590,70;45254982956,24;877537084,67;92527136928,39
04.12.2017;189172387100,98;44795654445,75;1055465091,22;102766338866,05
11.12.2017;258146761479,31;42389249662,52;1062611739,27;109440285534,90
18.12.2017;320000301752,74;69578413888,87;1541192299,94;195980743578,46
25.12.2017;234589560899,12;67475093792,68;1660642831,96;236090146956,23
01.01.2018;236724789717,43;73075765824,05;1792212235,56;301331885790,95
